,Case1_Temp,Case1_Mois,Case2_Temp,Case2_Mois,Case3_Temp,Case3_Mois
0.04,0.9668794606053644,0.06452379782127005,0.7925863476121264,0.5583839281179903,0.3619601021019758,-0.6115950792372884
0.1,0.9367810276299573,0.06564752466446366,0.8168550446223892,0.6573586366234312,0.3935834136829983,-0.6908868053075743
0.2,0.8674520166117888,0.1381546850054176,0.799544407761767,0.3853007983854909,0.4043465154816728,-0.6846364708417672
0.4,0.8436309644862219,-0.08471912090515299,0.7688097098507639,0.7863546622938856,0.45012870393732063,-0.8907662806546432
0.8,0.8082102908998168,-0.3146145345422391,0.7348191544442537,0.11584416088394711,0.4675365126958223,-0.09365926946815906
1.2,0.8156070040151424,-0.3827466628706182,0.7503070505011398,-2.0422610765833764,0.534653479738767,-0.21924179616600803
1.6,0.7783094919515058,-0.08174469080992552,0.705265046578798,-0.04991111728480768,0.5269191708622937,-0.0566368528919583
