,por_temp,por_mois,porc_temp,porc_mois,perm_temp,perm_mois,den_temp,den_mois
0.04,0.0,0.0,-0.0041066350634622354,-0.003446920948757595,0.03492348550717131,0.19625539273041148,-1.296025263461526,-0.08757826344167179
0.2,0.0,0.0,-0.012168021576727731,-0.0076231802690396545,0.10536011188638116,0.017102132749409887,-3.308851329875361,2.1088066282465485
0.4,0.0,-23.886040487303934,-0.015353339549681837,-0.004201983082129086,0.12687201453798716,0.04174150082802474,-3.6968732864640788,1.8348456389328718
0.8,0.0,-62.605667934976886,-0.01227387458416104,-0.024601096715854136,0.09350181494638642,0.04541003553518963,-4.100646836901426,12.747404504648388
1.2,0.0,-53.780628691521194,-0.012637901852699265,-0.002235041170298112,0.09931975090341531,0.00655339676933068,-7.432401728992851,2.569209140258198
1.6,0.0,-38.13476028639479,-0.01234540813664869,-0.0012274775774150613,0.0871695791023663,0.004697857984374585,-3.8332486210269177,0.988007719426102
