TIMESTAMP,air temperature [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),SWE(m/s)_sd004,SWE(m/s)_sd01,SWE(m/s)_sd02,SWE(m/s)_sd045
1,261.3841215277778,6.292142361111111,0.0,0.2227958333333333,144.13776736111112,0.0,0.0,0.0,0.0
1,261.3603506944444,5.078059027777778,0.0,0.24980590277777778,138.71940625,0.0,0.0,0.0,0.0
1,260.2395833333333,4.850805555555556,0.0,0.445328125,121.69941666666666,1.2538564814814726e-10,3.134641203703682e-10,6.269282407407364e-10,1.4105885416666567e-09
1,260.4565868055555,6.320802083333334,0.0,0.36926423611111114,127.90092708333333,7.716041666666667e-11,1.9290104166666668e-10,3.8580208333333336e-10,8.680546875000001e-10
1,261.02434027777775,5.272229166666667,0.0,0.2603871527777778,147.8373159722222,0.0,0.0,0.0,0.0
1,260.5923645833333,3.019430555555555,0.0,0.3651309027777778,138.94471875,1.302083333333333e-10,3.2552083333333325e-10,6.510416666666665e-10,1.4648437499999998e-09
1,259.42965277777773,4.247954861111111,0.0,0.42094548611111116,136.73622916666667,0.0,0.0,0.0,0.0
1,259.1842361111111,3.697541666666667,0.0,0.40029270833333336,149.5966388888889,3.3757638888888876e-11,8.439409722222219e-11,1.6878819444444437e-10,3.797734374999999e-10
1,257.6112847222222,2.9280833333333334,0.0,0.4876885416666667,144.91158333333334,6.751550925925821e-11,1.6878877314814552e-10,3.3757754629629103e-10,7.595494791666548e-10
1,255.76743055555553,2.8440972222222225,5.787037037037037e-10,0.633982638888889,82.34810069444444,2.763309953703705e-09,6.908274884259262e-09,1.3816549768518524e-08,3.108723697916668e-08
1,253.58951388888886,3.6837743055555556,0.0,0.6935930555555556,109.65217013888889,1.5142747685185182e-09,3.785686921296295e-09,7.57137384259259e-09,1.703559114583333e-08
1,253.80857638888887,3.168090277777778,0.0,0.5436225694444445,153.25465624999998,2.507715277777775e-10,6.269288194444438e-10,1.2538576388888877e-09,2.821179687499997e-09
1,255.08027777777775,4.337243055555556,0.0,0.4617885416666666,147.70766319444445,2.5559414351851864e-09,6.3898535879629655e-09,1.2779707175925931e-08,2.8754341145833345e-08
1,256.83371527777774,4.418729166666667,0.0,0.31751562499999997,148.73484027777778,9.452159722222211e-10,2.3630399305555527e-09,4.7260798611111055e-09,1.0633679687499987e-08
1,258.18538194444443,6.355718749999999,0.0,0.32629652777777773,145.51772569444444,0.0,0.0,0.0,0.0
1,257.3772916666667,9.648277777777778,0.0,0.2404246527777778,152.6696527777778,0.0,0.0,0.0,0.0
1,256.79381944444447,5.08396875,0.0,0.30196944444444446,146.74959027777777,9.64513888888889e-12,2.4112847222222227e-11,4.8225694444444453e-11,1.0850781250000002e-10
1,257.8848263888889,6.2337847222222225,0.0,0.28230625,156.41637500000002,5.545909722222222e-10,1.3864774305555555e-09,2.772954861111111e-09,6.2391484375e-09
1,256.39437499999997,4.263611111111111,0.0,0.3882767361111111,108.77195486111111,5.662046296296294e-10,1.4155115740740733e-09,2.8310231481481467e-09,6.36980208333333e-09
1,255.39614583333332,4.906916666666667,0.0,0.43450659722222224,105.17931944444445,0.0,0.0,0.0,0.0
1,255.1975347222222,7.1825624999999995,0.0,0.3432489583333333,135.7673611111111,3.8580254629629636e-10,9.64506365740741e-10,1.929012731481482e-09,4.340278645833334e-09
1,252.0659722222222,4.748611111111112,0.0,0.36896909722222226,161.65772222222222,3.8580324074074066e-11,9.645081018518517e-11,1.9290162037037033e-10,4.3402864583333325e-10
1,253.92110763888886,3.6186979166666666,0.0,0.32374756944444444,153.82429513888889,9.162807870370369e-10,2.2907019675925924e-09,4.581403935185185e-09,1.0308158854166666e-08
1,256.0942569444444,3.147475694444444,0.0,0.3270095486111111,170.31628125,1.7843379629629624e-10,4.460844907407406e-10,8.921689814814812e-10,2.007380208333333e-09
1,258.62965625,5.800565972222222,0.0,0.20876388888888886,165.25871875,2.8452939814814833e-10,7.113234953703709e-10,1.4226469907407418e-09,3.2009557291666688e-09
1,258.63231597222216,4.346631944444445,0.0,0.26056111111111113,159.43328125,2.411273148148147e-11,6.028182870370367e-11,1.2056365740740734e-10,2.712682291666665e-10
1,261.4908923611111,6.37378125,0.0,0.3118225694444444,171.84669097222223,0.0,0.0,0.0,0.0
1,259.303,6.093624999999999,0.0,0.42315,146.80963541666665,5.063657407407407e-10,1.2659143518518518e-09,2.5318287037037036e-09,5.696614583333332e-09
1,258.8926388888889,6.0665625,0.0,0.4019802083333333,148.53298611111111,3.5108025462962966e-09,8.777006365740742e-09,1.7554012731481484e-08,3.9496528645833335e-08
1,259.5523263888889,5.420847222222223,0.0,0.4079677083333333,130.0535451388889,1.4949861111111122e-10,3.7374652777777807e-10,7.474930555555561e-10,1.6818593750000013e-09
1,259.3362673611111,4.832045138888889,0.0,0.38110625,157.68036805555556,2.700615740740739e-10,6.751539351851848e-10,1.3503078703703696e-09,3.0381927083333313e-09
2,259.72542708333333,4.984222222222222,0.0,0.4232569444444444,194.8185902777778,0.0,0.0,0.0,0.0
2,261.0110277777777,4.889215277777778,0.0,0.26251875,161.65144444444445,3.0864189814814813e-10,7.716047453703704e-10,1.5432094907407407e-09,3.4722213541666666e-09
2,261.2884131944444,5.191986111111111,0.0,0.24974756944444443,159.53316319444446,2.8935185185185213e-11,7.233796296296304e-11,1.4467592592592608e-10,3.2552083333333366e-10
2,261.6176111111111,6.102635416666667,0.0,0.271365625,167.48248263888888,2.989969907407407e-10,7.474924768518517e-10,1.4949849537037033e-09,3.3637161458333325e-09
2,262.5146041666667,4.372982638888889,0.0,0.27011701388888887,138.59618055555555,3.5686736111111124e-10,8.921684027777781e-10,1.7843368055555562e-09,4.0147578125000015e-09
2,261.6257395833333,4.742916666666667,0.0,0.33048090277777775,129.76820833333335,1.4949861111111112e-10,3.737465277777778e-10,7.474930555555556e-10,1.681859375e-09
2,258.15236458333334,4.615555555555556,0.0,0.4969135416666667,144.29244444444447,1.3503078703703706e-10,3.3757696759259266e-10,6.751539351851853e-10,1.5190963541666669e-09
2,259.7910833333333,2.7993715277777778,0.0,0.49173628472222225,159.26427083333334,2.941743055555556e-10,7.354357638888891e-10,1.4708715277777781e-09,3.3094609375000008e-09
2,261.0896840277777,4.0973749999999995,5.787037037037037e-10,0.3816364583333333,189.98891319444445,1.7505787037037036e-09,4.3764467592592595e-09,8.752893518518519e-09,1.9694010416666668e-08
2,260.70731249999994,3.4772326388888892,0.0,0.4413552083333333,149.43163194444446,3.9062499999999993e-10,9.765624999999997e-10,1.9531249999999995e-09,4.394531249999999e-09
2,261.87753124999995,4.660649305555555,0.0,0.35408090277777776,189.63311805555554,3.954474537037036e-10,9.88618634259259e-10,1.977237268518518e-09,4.4487838541666655e-09
2,257.936,4.408309027777778,0.0,0.5429291666666667,194.14403125,5.078125e-09,1.2695312500000001e-08,2.5390625000000002e-08,5.7128906250000006e-08
2,257.2919097222222,4.240881944444444,0.0,0.5305229166666667,176.94027430555556,1.0368442129629627e-09,2.5921105324074067e-09,5.1842210648148135e-09,1.166449739583333e-08
2,257.6401041666666,3.5159270833333336,5.787037037037037e-10,0.4546777777777778,191.36539583333334,5.7870370370370426e-11,1.4467592592592608e-10,2.8935185185185216e-10,6.510416666666673e-10
2,260.14797916666663,5.98146875,0.0,0.31023194444444446,192.47439583333335,0.0,0.0,0.0,0.0
2,260.9621284722222,4.776399305555556,0.0,0.37615868055555557,155.78294444444447,2.266587962962963e-10,5.666469907407408e-10,1.1332939814814816e-09,2.5499114583333335e-09
2,262.4484756944444,6.426315972222222,0.0,0.2988777777777778,184.20915277777777,0.0,0.0,0.0,0.0
2,263.4954548611111,9.108180555555556,0.0,0.19181416666666667,221.7985798611111,3.279319444444445e-10,8.198298611111112e-10,1.6396597222222225e-09,3.6892343750000007e-09
2,261.9304722222222,4.793211805555556,0.0,0.20518958333333334,201.0744201388889,5.661856481481481e-10,1.4154641203703703e-09,2.8309282407407405e-09,6.369588541666666e-09
2,262.49812499999996,5.267670138888889,0.0,0.27855138888888886,164.57861805555555,0.0,0.0,0.0,0.0
2,258.03809027777777,4.019159722222223,0.0,0.6532548611111111,135.8852777777778,3.5686712962962995e-10,8.921678240740749e-10,1.7843356481481497e-09,4.014755208333337e-09
2,257.2723958333333,4.368951388888889,5.787037037037037e-10,0.7042006944444446,180.45076041666667,2.816358333333333e-09,7.040895833333332e-09,1.4081791666666664e-08,3.1684031249999995e-08
2,257.23267361111107,4.271951388888889,5.787037037037037e-10,0.6379899305555555,169.81303819444446,1.451581712962963e-09,3.628954282407408e-09,7.257908564814816e-09,1.6330294270833334e-08
2,256.93808680555554,4.051694444444444,5.787037037037037e-10,0.6439451388888889,171.8680659722222,3.3613039351851853e-09,8.403259837962964e-09,1.6806519675925928e-08,3.7814669270833334e-08
2,256.7753472222222,4.3208368055555555,0.0,0.47256354166666664,235.5843298611111,6.317516203703706e-10,1.5793790509259266e-09,3.1587581018518533e-09,7.107205729166669e-09
2,259.18301736111107,4.024541666666666,0.0,0.314590625,243.0687708333333,0.0,0.0,0.0,0.0
2,260.43757638888883,5.574767361111111,0.0,0.3751805555555555,224.74903472222223,2.507717592592597e-10,6.269293981481492e-10,1.2538587962962985e-09,2.8211822916666718e-09
2,260.04749305555555,5.5947256944444455,5.787037037037037e-10,0.5567652777777777,217.4236111111111,0.0,0.0,0.0,0.0
2,264.9181805555555,4.931125,0.0,0.2172152777777778,249.90300694444446,2.6041666666666693e-10,6.510416666666673e-10,1.3020833333333347e-09,2.929687500000003e-09
3,259.55041666666665,5.003847222222222,0.0,0.4325763888888889,203.7323854166667,0.0,0.0,0.0,0.0
3,261.84637152777776,5.729725694444445,0.0,0.3717415625,256.7175798611111,0.0,0.0,0.0,0.0
3,263.37050347222225,5.185510416666666,0.0,0.26179895833333333,223.08506597222222,2.700615740740741e-10,6.751539351851853e-10,1.3503078703703706e-09,3.0381927083333337e-09
3,260.9857986111111,7.5276805555555555,0.0,0.42571805555555553,167.98277777777778,5.304782407407406e-10,1.3261956018518515e-09,2.652391203703703e-09,5.967880208333332e-09
3,260.35991666666666,6.607777777777778,0.0,0.5994875000000001,210.72220833333333,4.967208333333332e-10,1.241802083333333e-09,2.483604166666666e-09,5.588109374999998e-09
3,262.1080833333333,5.461305555555556,0.0,0.5258635416666667,236.72597916666666,4.7116127314814825e-09,1.1779031828703706e-08,2.3558063657407412e-08,5.3005643229166677e-08
3,261.1302986111111,4.531451388888889,0.0,0.5162179861111111,238.54159027777777,3.9020430555555556e-09,9.755107638888889e-09,1.9510215277777778e-08,4.3897984375e-08
3,260.8781736111111,4.934395833333333,0.0,0.4397256944444444,227.60144791666667,2.7868071759259246e-09,6.967017939814811e-09,1.3934035879629623e-08,3.135158072916665e-08
3,259.90719791666663,5.048378472222223,0.0,0.584159375,180.38049305555555,1.1959877314814823e-09,2.9899693287037057e-09,5.979938657407411e-09,1.3454861979166676e-08
3,259.9585381944444,4.754135416666667,0.0,0.6119690972222223,198.06545833333337,0.0,0.0,0.0,0.0
3,261.30834027777775,4.2210833333333335,5.787037037037037e-10,0.6063548611111111,215.77031597222222,3.2793217592592674e-10,8.198304398148168e-10,1.6396608796296337e-09,3.689236979166676e-09
3,260.90779166666664,4.54075,0.0,0.7122774305555556,185.6832638888889,5.1890432870370375e-09,1.2972608217592594e-08,2.5945216435185187e-08,5.8376736979166675e-08
3,260.83428125,3.711069444444444,0.0,0.6337475694444444,236.12967013888888,8.294753009259258e-09,2.0736882523148146e-08,4.147376504629629e-08,9.331597135416664e-08
3,262.9972881944444,3.703236111111111,0.0,0.6890708333333333,181.48313194444444,1.1091805555555547e-10,2.772951388888887e-10,5.545902777777774e-10,1.247828124999999e-09
3,263.7454444444444,3.6898680555555554,0.0,0.7637385416666667,169.0865173611111,4.378857870370372e-09,1.094714467592593e-08,2.189428935185186e-08,4.926215104166668e-08
3,262.4837013888889,4.165013888888889,1.3310185185185185e-08,0.7367159722222223,202.25186458333332,1.142939814814815e-09,2.8573495370370377e-09,5.714699074074075e-09,1.2858072916666669e-08
3,263.1698645833333,5.277086805555555,0.0,0.4541104166666667,297.18823958333337,2.5221837962962964e-09,6.3054594907407405e-09,1.2610918981481481e-08,2.8374567708333336e-08
3,265.9763611111111,4.266590277777778,0.0,0.46057881944444445,239.18519791666665,0.0,0.0,0.0,0.0
3,266.6139131944444,4.189902777777778,0.0,0.4453663194444445,265.3980451388889,4.0991504629629616e-10,1.0247876157407404e-09,2.049575231481481e-09,4.611544270833332e-09
3,265.0033472222222,3.470635416666666,3.4722222222222226e-09,0.7333597222222223,156.4814236111111,3.713349537037045e-10,9.283373842592612e-10,1.8566747685185223e-09,4.177518229166675e-09
3,264.55260763888884,4.2041458333333335,1.7361111111111113e-09,0.8498305555555556,180.69183333333334,7.91859560185185e-09,1.979648900462963e-08,3.959297800925926e-08,8.908420052083332e-08
3,263.19467361111106,8.181645833333334,0.0,0.7452545138888889,190.43297916666666,0.0,0.0,0.0,0.0
3,261.5731944444444,6.938059027777777,0.0,0.6990465277777778,236.30699305555555,1.5673224537037038e-09,3.918306134259259e-09,7.836612268518518e-09,1.7632377604166667e-08
3,259.6142361111111,4.308708333333334,0.0,0.6104722222222223,308.6983333333333,0.0,0.0,0.0,0.0
