TIMESTAMP,air temperature [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),SWE(m/s)_sd045
1,261.3841215277778,6.292142361111111,0.0,0.2227958333333333,144.13776736111112,1.6596137239583333e-07
1,261.3603506944444,5.078059027777778,0.0,0.24980590277777778,138.71940625,1.6097005208333335e-07
1,260.2395833333333,4.850805555555556,0.0,0.445328125,121.69941666666666,1.6216362760416665e-07
1,260.4565868055555,6.320802083333334,0.0,0.36926423611111114,127.90092708333333,1.57497828125e-07
1,261.02434027777775,5.272229166666667,0.0,0.2603871527777778,147.8373159722222,1.4822048697916667e-07
1,260.5923645833333,3.019430555555555,0.0,0.3651309027777778,138.94471875,1.4805772656250002e-07
1,259.42965277777773,4.247954861111111,0.0,0.42094548611111116,136.73622916666667,1.4057074739583332e-07
1,259.1842361111111,3.697541666666667,0.0,0.40029270833333336,149.5966388888889,1.2972005208333335e-07
1,257.6112847222222,2.9280833333333334,0.0,0.4876885416666667,144.91158333333334,1.304796015625e-07
1,255.76743055555553,2.8440972222222225,5.787037037037037e-10,0.633982638888889,82.34810069444444,1.615668385416667e-07
1,253.58951388888886,3.6837743055555556,0.0,0.6935930555555556,109.65217013888889,1.7013888802083333e-07
1,253.80857638888887,3.168090277777778,0.0,0.5436225694444445,153.25465624999998,1.4659288020833332e-07
1,255.08027777777775,4.337243055555556,0.0,0.4617885416666666,147.70766319444445,1.7534722135416668e-07
1,256.83371527777774,4.418729166666667,0.0,0.31751562499999997,148.73484027777778,1.8408203124999997e-07
1,258.18538194444443,6.355718749999999,0.0,0.32629652777777773,145.51772569444444,1.5380859375e-07
1,257.3772916666667,9.648277777777778,0.0,0.2404246527777778,152.6696527777778,7.633463541666666e-08
1,256.79381944444447,5.08396875,0.0,0.30196944444444446,146.74959027777777,3.33116328125e-08
1,257.8848263888889,6.2337847222222225,0.0,0.28230625,156.41637500000002,3.40711796875e-08
1,256.39437499999997,4.263611111111111,0.0,0.3882767361111111,108.77195486111111,4.044098177083333e-08
1,255.39614583333332,4.906916666666667,0.0,0.43450659722222224,105.17931944444445,3.65125859375e-08
1,255.1975347222222,7.1825624999999995,0.0,0.3432489583333333,135.7673611111111,4.085286458333333e-08
1,252.0659722222222,4.748611111111112,0.0,0.36896909722222226,161.65772222222222,2.4034289062500002e-08
1,253.92110763888886,3.6186979166666666,0.0,0.32374756944444444,153.82429513888889,3.434244791666666e-08
1,256.0942569444444,3.147475694444444,0.0,0.3270095486111111,170.31628125,3.515625000000001e-08
1,258.62965625,5.800565972222222,0.0,0.20876388888888886,165.25871875,3.835720572916667e-08
1,258.63231597222216,4.346631944444445,0.0,0.26056111111111113,159.43328125,3.7109375e-08
1,261.4908923611111,6.37378125,0.0,0.3118225694444444,171.84669097222223,1.9476994791666666e-08
1,259.303,6.093624999999999,0.0,0.42315,146.80963541666665,2.5173609375e-08
1,258.8926388888889,6.0665625,0.0,0.4019802083333333,148.53298611111111,6.14149296875e-08
1,259.5523263888889,5.420847222222223,0.0,0.4079677083333333,130.0535451388889,5.414496614583334e-08
1,259.3362673611111,4.832045138888889,0.0,0.38110625,157.68036805555556,3.3962671875e-08
2,259.72542708333333,4.984222222222222,0.0,0.4232569444444444,194.8185902777778,2.84288203125e-08
2,261.0110277777777,4.889215277777778,0.0,0.26251875,161.65144444444445,2.8754338541666667e-08
2,261.2884131944444,5.191986111111111,0.0,0.24974756944444443,159.53316319444446,2.6638453125e-08
2,261.6176111111111,6.102635416666667,0.0,0.271365625,167.48248263888888,3.000216927083333e-08
2,262.5146041666667,4.372982638888889,0.0,0.27011701388888887,138.59618055555555,3.401692708333333e-08
2,261.6257395833333,4.742916666666667,0.0,0.33048090277777775,129.76820833333335,3.4396703124999995e-08
2,258.15236458333334,4.615555555555556,0.0,0.4969135416666667,144.29244444444447,3.23350703125e-08
2,259.7910833333333,2.7993715277777778,0.0,0.49173628472222225,159.26427083333334,3.076171875e-08
2,261.0896840277777,4.0973749999999995,5.787037037037037e-10,0.3816364583333333,189.98891319444445,5.045572916666667e-08
2,260.70731249999994,3.4772326388888892,0.0,0.4413552083333333,149.43163194444446,5.17578125e-08
2,261.87753124999995,4.660649305555555,0.0,0.35408090277777776,189.63311805555554,5.121527864583333e-08
2,257.936,4.408309027777778,0.0,0.5429291666666667,194.14403125,1.0834418489583333e-07
