,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
Case1_rw,-8.671411373521723,-8.004672005927805,-13.270909790511755,-13.652864636530316,-11.461937717257308,-11.540221638886916,-12.517659507652981,-13.75485770125233,-12.48948119583286,-14.612408439518147,-14.431039505978273,-15.583381640343829,-13.189903732875036,-16.235588353765365,-12.299673686744324,-12.155953840585408,9.378985497953893,12.785093222531,-16.96154957540927,-17.708422351539408,-18.17807187712716
Case2_rw,-9.913849047905842,-6.998552358162913,-13.403977232121182,,-11.931702282038307,,,,,,,,,,-11.48368710241351,-11.670692174760616,10.484792143002373,15.156661098914887,,,-17.495965597318314
Case3_rw,-6.390164589959286,-5.757610557855598,-11.11300905579248,,-10.127048691027728,,,,,,,,,,-9.883390850837007,-10.034090665331437,10.943769564530584,15.413385880553877,,,-15.546974871408574
