,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
Case1_rw,0.000171417,0.000333899,1.72392e-06,1.17662e-06,1.05231e-05,9.73073e-06,3.66142e-06,1.06253e-06,3.76606e-06,4.50725e-07,5.40355e-07,1.70696e-07,1.86938e-06,8.89147e-08,4.55323e-06,5.25698e-06,11837.0,356858.0,4.30222e-08,2.03859e-08,1.27457e-08
Case2_rw,4.94846e-05,0.000913203,1.50913e-06,0.0,6.57851e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02967e-05,8.54049e-06,35767.4,3823440.0,0.0,0.0,2.52115e-08
Case3_rw,0.00167798,0.00315865,1.4917e-05,0.0,3.99833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1015e-05,4.38783e-05,56600.3,4942520.0,0.0,0.0,1.77025e-07
