,model_runs_completed,total_phi,measurement_phi,regularization_phi,temp,mois
0,0,0.00342171,0.00342171,0,0.00171085,0.00171085
1,32,0.00331688,0.00331688,0,0.00169516,0.00162172
2,63,0.00310994,0.00310994,0,0.00166366,0.00144628
3,115,0.00310652,0.00310652,0,0.00166375,0.00144277
4,167,0.00310585,0.00310585,0,0.00166692,0.00143893
