iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
2,0,100,1,0.0025,0.00181152,2.04974,2.05002,0.227625,0.16162,0.442058,0.951846,0.10347,0.984254,1.50508,1.4994,0.48586,0.698885,0.638272,0.481641,1.33666e-11,1.75e-13,900,1900,268.45
2,0,100,0.75,0.0025,0.00181222,2.04974,2.05002,0.227625,0.16162,0.442058,0.951846,0.10347,0.984254,1.50508,1.4994,0.48586,0.698885,0.638272,0.481641,1.33666e-11,1.70455e-13,900,1900,268.45
2,0,1000,1,0.0025,0.00178483,2.04974,2.05002,0.227626,0.161621,0.442059,0.951846,0.103471,0.984254,1.50508,1.4994,0.48586,0.698885,0.638273,0.481641,1.33666e-11,1.56823e-13,900,1900,268.45
2,0,1000,0.75,0.0025,0.0017922,2.04974,2.05002,0.227626,0.161621,0.442059,0.951846,0.103471,0.984254,1.50508,1.4994,0.48586,0.698885,0.638273,0.481641,1.33666e-11,1.56823e-13,900,1900,268.45
3,0,0.1,1,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,0.1,0.75,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,1,1,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,1,0.75,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,10,1,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,10,0.75,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,100,1,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,100,0.75,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
3,0,1000,1,0.0025,0.00176734,2.04967,2.05002,0.227761,0.161725,0.442199,0.951822,0.103595,0.984246,1.50507,1.4994,0.485792,0.698885,0.638335,0.481619,1.33722e-11,1.75e-13,900,1900,268.45
3,0,1000,0.75,0.0025,0.00177503,2.04967,2.05002,0.227761,0.161725,0.442199,0.951822,0.103595,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33708e-11,1.75e-13,900,1900,268.45
