	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
0	7.491743055555555	7.892918402777777	8.429340277777778	8.874756944444444	5.32940625	3.7130868055555553	5.215873263888889	-14.49214236111111	-13.853211805555555	-12.741701388888888	-12.1640625	-10.756979166666667	-8.778947916666667	-5.870307291666666	-4.427098958333334
1	7.541508680555555	7.935121527777778	8.46248263888889	8.873472222222222	5.311170138888889	3.6879548611111113	5.1801006944444445	-14.122991319444445	-13.34859375	-12.317204861111112	-11.859913194444443	-10.680121527777779	-8.876973958333334	-6.061526041666667	-4.609814236111111
2	7.5409444444444444	7.940477430555555	8.474166666666667	8.882239583333334	5.3007100694444444	3.666684027777778	5.138069444444445	-14.6991875	-13.470538194444444	-12.329218749999999	-11.79498263888889	-10.58859375	-8.901475694444445	-6.220916666666667	-4.778928819444444
3	7.506553819444445	7.908460069444445	8.447569444444444	8.867760416666666	5.29246875	3.649473958333333	5.1089062499999995	-14.804434027777777	-13.809739583333334	-12.635677083333334	-12.019965277777779	-10.690190972222222	-8.956571180555557	-6.345725694444445	-4.928621527777778
4	7.5207829861111115	7.9151388888888885	8.44140625	8.848923611111111	5.278310763888888	3.6342222222222222	5.082649305555556	-13.822243055555555	-13.422899305555555	-12.420781250000001	-11.957604166666666	-10.778836805555557	-9.06515625	-6.464932291666667	-5.065253472222222
5	7.532333333333333	7.928751736111112	8.447847222222222	8.84734375	5.266522569444445	3.618557291666667	5.059347222222223	-14.856225694444444	-13.410833333333333	-12.328645833333333	-11.856527777777778	-10.736215277777777	-9.125520833333333	-6.5841111111111115	-5.195394097222222
6	7.484229166666667	7.887258680555556	8.422708333333334	8.833211805555555	5.256366319444444	3.6033333333333335	5.0363315972222225	-16.821260416666668	-14.1625	-12.845086805555555	-12.173732638888888	-10.82890625	-9.180034722222222	-6.691208333333334	-5.318798611111111
7	7.381753472222222	7.785159722222223	8.326197916666667	8.774340277777778	5.235798611111111	3.589925347222222	5.016151041666666	-17.54121875	-15.088524305555556	-13.703038194444444	-12.89671875	-11.23640625	-9.348680555555555	-6.79629861111111	-5.434177083333333
8	7.330888888888889	7.728288194444445	8.264256944444444	8.709270833333335	5.200996527777778	3.5743993055555556	4.996524305555556	-17.71149826388889	-15.393593749999999	-14.053524305555555	-13.284565972222222	-11.613472222222223	-9.614774305555557	-6.92875	-5.552786458333333
9	7.3164670138888885	7.706791666666667	8.237805555555555	8.664513888888889	5.166765625	3.554498263888889	4.976130208333334	-17.939947916666668	-15.421145833333334	-14.092725694444445	-13.422829861111111	-11.854618055555555	-9.868420138888888	-7.0917586805555555	-5.686647569444444
