,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
0,260.2196128472222,258.65785763888886,5.9599270833333335,0.0,0.25077673611111106,146.39405729166666,8.90456989247312e-10,1.780913978494624e-09,4.007056451612904e-09,3.5618279569892486e-10,8.904569892473121e-11
1,260.3398767361111,259.0270086805555,4.961647569444445,0.0,0.2975142361111111,130.16196354166667,0.0,0.0,0.0,0.0,0.0
2,258.9461284722222,258.4508125,4.406385416666667,0.0,0.5231003472222222,105.2549375,0.0,0.0,0.0,0.0,0.0
3,258.5904288194444,258.3455659722222,4.9069288194444445,0.0,0.45860815972222224,117.27283854166666,3.858020833333333e-10,7.716041666666666e-10,1.736109375e-09,1.5432083333333334e-10,3.8580208333333335e-11
4,259.89013368055555,259.32775694444445,5.046729166666667,0.0,0.3278223958333333,144.49908333333332,0.0,0.0,0.0,0.0,0.0
5,259.6484392361111,258.29377430555553,3.3172413194444443,0.0,0.44917899305555564,121.34646180555555,6.510416666666666e-10,1.3020833333333332e-09,2.9296874999999997e-09,2.6041666666666667e-10,6.510416666666667e-11
6,256.61607638888887,256.3287395833333,4.318909722222222,0.0,0.5166041666666668,131.79334548611112,0.0,0.0,0.0,0.0,0.0
7,256.35086805555557,255.60878124999996,3.8451215277777777,0.0,0.4175369791666667,136.31789062500002,1.6878819444444437e-10,3.3757638888888875e-10,7.595468749999997e-10,6.751527777777775e-11,1.6878819444444438e-11
8,256.2627430555555,255.4385017361111,3.548407986111111,0.0,0.3694039930555556,140.13151909722222,0.0,0.0,0.0,0.0,0.0
9,255.4483159722222,255.21005208333332,3.2527413194444446,2.8935185185185185e-10,0.4196407986111111,117.52483854166667,9.574652777777776e-09,1.9149305555555552e-08,4.308593749999999e-08,3.829861111111111e-09,9.574652777777777e-10
10,254.9844270833333,254.8920034722222,3.810083333333333,0.0,0.49178038194444446,126.71947743055557,7.569444444444445e-09,1.513888888888889e-08,3.4062500000000005e-08,3.027777777777778e-09,7.569444444444445e-10
11,255.77236111111108,254.52126215277775,2.5742569444444445,0.0,0.41025520833333334,141.30911284722222,1.2500000000000013e-09,2.5000000000000025e-09,5.625000000000006e-09,5.000000000000005e-10,1.2500000000000014e-10
12,257.6868871527778,256.63903124999996,4.261703125,0.0,0.39391788194444444,145.76873090277778,1.8865740740740736e-09,3.773148148148147e-09,8.48958333333333e-09,7.546296296296294e-10,1.8865740740740734e-10
13,257.95694444444445,256.8943020833333,4.4953489583333335,0.0,0.34110624999999994,136.335140625,0.0,0.0,0.0,0.0,0.0
14,257.1220659722222,256.1043055555555,5.391340277777777,0.0,0.38376163194444446,127.76304166666667,0.0,0.0,0.0,0.0,0.0
15,257.6795486111111,256.1112743055555,7.896944444444444,0.0,0.24211440972222223,148.40189236111112,0.0,0.0,0.0,0.0,0.0
16,258.6763732638889,257.5073159722222,5.942496527777777,0.0,0.28589565972222225,146.29335416666666,4.629629629629591e-11,9.259259259259183e-11,2.083333333333316e-10,1.8518518518518366e-11,4.6296296296295915e-12
17,258.37119791666663,257.74064062499997,4.7832309027777775,0.0,0.3204265625,133.223484375,0.0,0.0,0.0,0.0,0.0
18,256.79499999999996,256.53441666666663,4.457600694444444,0.0,0.4796138888888889,118.68486458333334,6.849965277777778e-10,1.3699930555555556e-09,3.082484375e-09,2.7399861111111113e-10,6.849965277777778e-11
19,255.63023958333332,256.8408402777778,4.846479166666667,0.0,0.4601612847222222,113.09982465277778,0.0,0.0,0.0,0.0,0.0
20,254.93717013888886,255.97399131944445,7.137663194444444,0.0,0.38199496527777776,138.6533611111111,0.0,0.0,0.0,0.0,0.0
21,256.37543576388885,256.59597743055554,5.163640625,0.0,0.2966949479166667,165.25805729166666,1.929016203703703e-10,3.858032407407406e-10,8.680572916666664e-10,7.716064814814813e-11,1.9290162037037033e-11
22,258.18121527777777,257.3918107638889,4.422380208333333,0.0,0.2939767361111111,158.91435069444444,5.044363425925925e-10,1.008872685185185e-09,2.2699635416666663e-09,2.01774537037037e-10,5.044363425925925e-11
23,258.51394618055554,257.20256076388887,2.9208628472222222,2.8935185185185185e-10,0.3744763020833333,147.11975520833334,0.0,0.0,0.0,0.0,0.0
24,259.6225190972222,258.02507638888886,5.570303819444444,0.0,0.3055041666666667,168.73088715277777,1.9290162037037038e-10,3.8580324074074077e-10,8.680572916666667e-10,7.716064814814816e-11,1.929016203703704e-11
25,259.2660486111111,258.2397795138889,3.9875520833333336,0.0,0.3276135416666667,155.07832291666668,1.2056365740740734e-10,2.411273148148147e-10,5.42536458333333e-10,4.822546296296294e-11,1.2056365740740735e-11
26,259.3867309027778,258.9566788194444,5.040628472222222,0.0,0.4504748263888889,148.81915104166666,0.0,0.0,0.0,0.0,0.0
27,257.9671423611111,257.20651215277775,5.045513888888889,0.0,0.47754479166666663,134.91768055555553,1.7380405092592595e-09,3.476081018518519e-09,7.821182291666668e-09,6.952162037037038e-10,1.7380405092592595e-10
28,257.4141319444444,256.2688263888889,5.494854166666666,0.0,0.48332378472222226,146.02704166666666,1.755787037037037e-08,3.511574074074074e-08,7.901041666666666e-08,7.023148148148148e-09,1.755787037037037e-09
29,255.77010416666664,254.71498437499997,5.994001736111111,0.0,0.4984112847222222,107.0077951388889,0.0,0.0,0.0,0.0,0.0
30,256.38752604166666,254.89575868055553,4.9551388888888885,0.0,0.36541875,172.17297048611113,0.0,0.0,0.0,0.0,0.0
31,258.7910225694444,257.32852256944443,5.4185590277777775,0.0,0.41832881944444444,186.89622569444444,0.0,0.0,0.0,0.0,0.0
32,259.4757395833333,257.8443385416666,4.482512152777778,0.0,0.3350111111111111,164.1365295138889,0.0,0.0,0.0,0.0,0.0
33,258.3675052083333,257.29121701388885,5.172171875,0.0,0.2800970486111111,174.38019791666667,0.0,0.0,0.0,0.0,0.0
34,258.5456805555555,257.6139270833333,5.276864583333333,0.0,0.30056875,173.62916666666666,6.944444444444412e-11,1.3888888888888824e-10,3.1249999999999856e-10,2.777777777777765e-11,6.944444444444413e-12
