TIMESTAMP,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
1,260.2196128472222,258.65785763888886,5.9599270833333335,0.0,0.25077673611111106,146.39405729166666,1.4816261574074074e-08,2.963252314814815e-08,6.667317708333332e-08,5.926504629629629e-09,1.4816261574074073e-09
1,260.3398767361111,259.0270086805555,4.961647569444445,0.0,0.2975142361111111,130.16196354166667,2.411261574074074e-10,4.822523148148148e-10,1.0850677083333332e-09,9.645046296296296e-11,2.411261574074074e-11
1,258.9461284722222,258.4508125,4.406385416666667,0.0,0.5231003472222222,105.2549375,1.4467592592592592e-10,2.8935185185185185e-10,6.510416666666667e-10,5.7870370370370374e-11,1.4467592592592594e-11
1,258.5904288194444,258.3455659722222,4.9069288194444445,0.0,0.45860815972222224,117.27283854166666,5.304780092592593e-10,1.0609560185185186e-09,2.3871510416666664e-09,2.1219120370370371e-10,5.304780092592593e-11
1,259.89013368055555,259.32775694444445,5.046729166666667,0.0,0.3278223958333333,144.49908333333332,2.8935185185185185e-10,5.787037037037037e-10,1.3020833333333334e-09,1.1574074074074075e-10,2.8935185185185187e-11
1,259.6484392361111,258.29377430555553,3.3172413194444443,0.0,0.44917899305555564,121.34646180555555,9.403935185185186e-10,1.880787037037037e-09,4.231770833333333e-09,3.7615740740740737e-10,9.403935185185184e-11
1,256.61607638888887,256.3287395833333,4.318909722222222,0.0,0.5166041666666668,131.79334548611112,6.269293981481482e-10,1.2538587962962964e-09,2.821182291666667e-09,2.507717592592593e-10,6.269293981481482e-11
1,256.35086805555557,255.60878124999996,3.8451215277777777,0.0,0.4175369791666667,136.31789062500002,7.957175925925925e-10,1.591435185185185e-09,3.580729166666666e-09,3.18287037037037e-10,7.957175925925926e-11
1,256.2627430555555,255.4385017361111,3.548407986111111,0.0,0.3694039930555556,140.13151909722222,7.957175925925925e-10,1.591435185185185e-09,3.580729166666666e-09,3.18287037037037e-10,7.957175925925926e-11
1,255.4483159722222,255.21005208333332,3.2527413194444446,2.8935185185185185e-10,0.4196407986111111,117.52483854166667,1.0370370370370369e-08,2.0740740740740738e-08,4.666666666666666e-08,4.148148148148148e-09,1.037037037037037e-09
