name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.0025,0.00249942,-0.00249885,0.00749885
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00113244,0.000684301,-0.00023616,0.00250104
n_p,1.5,0.25625,0.9875,2.0125,1.46821,0.256201,0.955812,1.98062
wr_p,0.1,0.044,0.012,0.188,0.137442,0.0439982,0.049446,0.225439
por_p,0.63739,0.17275,0.29189,0.98289,0.438661,0.172574,0.0935129,0.783809
por_m,0.481031,0.180387,0.120258,0.841804,0.372767,0.180238,0.0122899,0.733243
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.66176e-11,2.00495e-11,1.65186e-11,9.67166e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.75e-14,1e-13,2.5e-13
pen_s,0.02,0.0075,0.005,0.035,0.0257285,0.00749988,0.0107287,0.0407282
z_bg,0.04,0.015,0.01,0.07,0.07,0.0149998,0.0400004,0.0999996
z_s,0.005,0.001875,0.00125,0.00875,0.00126953,0.00187479,-0.00248006,0.00501912
b_bc,268.45,2.75,262.95,273.95,268.45,2.74999,262.95,273.95
