name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.0100545,0.00249993,0.00505462,0.0150544
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00170055,0.000684298,0.000331957,0.00306915
n_p,1.5,0.25625,0.9875,2.0125,1.5,0.256215,0.987571,2.01243
wr_p,0.1,0.044,0.012,0.188,0.102536,0.0439892,0.0145572,0.190514
por_p,0.63739,0.17275,0.29189,0.98289,0.549077,0.172575,0.203927,0.894226
por_m,0.481031,0.180387,0.120258,0.841804,0.446387,0.180286,0.0858156,0.806959
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.02782e-11,2.00486e-11,1.01809e-11,9.03754e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,9.34279e-14,3.74997e-14,1.84286e-14,1.68427e-13
pen_s,0.02,0.0075,0.005,0.035,0.0249051,0.00749966,0.00990574,0.0399044
z_bg,0.04,0.015,0.01,0.07,0.0454482,0.0149991,0.01545,0.0754463
z_s,0.005,0.001875,0.00125,0.00875,0.00610661,0.00187494,0.00235672,0.0098565
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
