name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.0025,0.00249907,-0.00249814,0.00749814
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00109283,0.000684327,-0.000275828,0.00246148
n_p,1.5,0.25625,0.9875,2.0125,1.46875,0.256201,0.956344,1.98115
wr_p,0.1,0.044,0.012,0.188,0.136924,0.0439982,0.0489273,0.22492
por_p,0.63739,0.17275,0.29189,0.98289,0.439242,0.172586,0.0940712,0.784414
por_m,0.481031,0.180387,0.120258,0.841804,0.373248,0.180227,0.0127945,0.733702
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.63706e-11,2.00494e-11,1.62719e-11,9.64693e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.75e-14,1e-13,2.5e-13
pen_s,0.02,0.0075,0.005,0.035,0.0256451,0.00749985,0.0106454,0.0406448
z_bg,0.04,0.015,0.01,0.07,0.0696063,0.0149998,0.0396067,0.099606
z_s,0.005,0.001875,0.00125,0.00875,0.00125,0.00187486,-0.00249973,0.00499973
b_bc,268.45,2.75,262.95,273.95,268.45,2.74999,262.95,273.95
