TIMESTAMP,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
2017-09-22,273.97352777777775,275.7543472222222,4.062819444444445,0.0,0.6535055555555556,280.3644027777778,1.9456018518518516e-08,3.891203703703703e-08,8.755208333333332e-08,7.782407407407406e-09,1.9456018518518516e-09
2017-09-23,275.43988194444444,277.0192222222222,4.053625,2.4305555555555556e-08,0.7492673611111111,228.78740277777777,1.2222222222222222e-08,2.4444444444444444e-08,5.4999999999999996e-08,4.888888888888889e-09,1.2222222222222223e-09
2017-09-24,274.4761458333333,275.58149305555554,3.3809583333333335,3.4722222222222226e-09,0.9185881944444445,104.11040972222222,8.819444444444445e-09,1.763888888888889e-08,3.96875e-08,3.5277777777777777e-09,8.819444444444444e-10
2017-09-25,273.1237847222222,274.1084722222222,2.520770833333333,5.6712962962962966e-08,0.9644166666666666,69.65376388888889,1.324074074074074e-08,2.648148148148148e-08,5.9583333333333334e-08,5.296296296296296e-09,1.324074074074074e-09
2017-09-26,271.2920833333333,273.7898472222222,2.926527777777778,3.4722222222222226e-09,0.8849291666666665,168.74756944444445,2.5000000000000002e-08,5.0000000000000004e-08,1.1250000000000001e-07,1e-08,2.5e-09
2017-09-27,270.98496527777775,272.81026388888887,3.386458333333333,3.4722222222222226e-09,0.8161736111111111,262.99581944444446,3.265046296296296e-08,6.530092592592592e-08,1.469270833333333e-07,1.3060185185185186e-08,3.2650462962962964e-09
2017-09-28,273.53095833333333,274.6942638888889,4.527597222222223,0.0,0.6448923611111111,230.9380138888889,1.4131944444444445e-08,2.826388888888889e-08,6.359375e-08,5.652777777777778e-09,1.4131944444444444e-09
2017-09-29,273.9756111111111,275.4247083333333,4.478881944444444,2.3148148148148148e-09,0.6407708333333333,249.47945138888886,1.451388888888889e-08,2.902777777777778e-08,6.53125e-08,5.805555555555556e-09,1.451388888888889e-09
2017-09-30,275.7749097222222,276.8625972222222,4.0483263888888885,0.0,0.6577048611111111,240.32342361111108,1.1284722222222223e-08,2.2569444444444445e-08,5.078125e-08,4.513888888888889e-09,1.1284722222222223e-09
2017-10-01,274.3232361111111,275.8423958333333,6.220180555555555,2.199074074074074e-08,0.6828847222222223,243.61782638888886,1.5983796296296294e-08,3.196759259259259e-08,7.192708333333333e-08,6.393518518518518e-09,1.5983796296296295e-09
2017-10-02,268.89852777777776,272.10549999999995,4.605527777777778,3.819444444444444e-08,0.9395486111111111,166.98245138888888,4.424768518518519e-08,8.849537037037038e-08,1.9911458333333332e-07,1.7699074074074076e-08,4.424768518518519e-09
2017-10-03,269.88776388888886,272.7953958333333,2.571784722222222,8.101851851851853e-09,0.9400902777777778,161.8299861111111,6.503472222222221e-08,1.3006944444444443e-07,2.9265625e-07,2.6013888888888886e-08,6.503472222222222e-09
2017-10-04,272.7157291666666,272.22908333333334,5.262840277777778,0.0,0.6484923611111111,267.13294444444443,3.7060185185185184e-08,7.412037037037037e-08,1.6677083333333333e-07,1.4824074074074075e-08,3.7060185185185187e-09
