,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
0,261.50668055555553,260.3422222222222,5.703645833333334,0.0,0.26417291666666665,140.57291666666666,5.796296296296296e-08,1.1592592592592592e-07,2.608333333333333e-07,2.3185185185185184e-08,5.796296296296296e-09
1,260.60236111111107,259.4288958333333,4.522027777777778,0.0,0.2560326388888889,136.90965277777775,2.411261574074074e-10,4.822523148148148e-10,1.0850677083333332e-09,9.645046296296296e-11,2.411261574074074e-11
2,260.7752777777778,259.6362638888889,5.572090277777778,0.0,0.4342826388888889,108.14234027777778,1.4467592592592592e-10,2.8935185185185185e-10,6.510416666666667e-10,5.7870370370370374e-11,1.4467592592592594e-11
3,262.33011805555554,260.5850694444444,6.037,0.0,0.30436111111111114,147.93359027777777,5.304780092592593e-10,1.0609560185185186e-09,2.3871510416666664e-09,2.1219120370370371e-10,5.304780092592593e-11
4,262.99791666666664,260.7648888888889,5.978368055555555,0.0,0.2218,147.18645833333332,2.8935185185185185e-10,5.787037037037037e-10,1.3020833333333334e-09,1.1574074074074075e-10,2.8935185185185187e-11
5,262.0101458333333,259.3912638888889,3.327208333333333,0.0,0.2891152777777778,151.63479166666667,9.403935185185186e-10,1.880787037037037e-09,4.231770833333333e-09,3.7615740740740737e-10,9.403935185185184e-11
6,259.6243055555555,259.2802361111111,5.066354166666667,0.0,0.4627090277777778,126.78840277777778,6.269293981481482e-10,1.2538587962962964e-09,2.821182291666667e-09,2.507717592592593e-10,6.269293981481482e-11
7,258.99618055555555,258.21574999999996,4.6846805555555555,0.0,0.5214006944444445,148.5770138888889,7.957175925925925e-10,1.591435185185185e-09,3.580729166666666e-09,3.18287037037037e-10,7.957175925925926e-11
8,256.1481944444444,256.7708819444444,3.195972222222222,0.0,0.7017263888888889,138.10925694444444,7.957175925925925e-10,1.591435185185185e-09,3.580729166666666e-09,3.18287037037037e-10,7.957175925925926e-11
9,254.6953472222222,256.5602083333333,2.555972222222222,1.1574074074074074e-09,0.8131458333333333,81.65446527777777,1.0370370370370369e-08,2.0740740740740738e-08,4.666666666666666e-08,4.148148148148148e-09,1.037037037037037e-09
10,252.72430555555553,252.77118055555553,2.2474374999999998,0.0,0.77295,114.18267361111111,1.7939814814814816e-08,3.587962962962963e-08,8.072916666666667e-08,7.175925925925926e-09,1.7939814814814815e-09
11,254.28819444444443,252.08715277777776,3.0862569444444445,0.0,0.49426875000000003,157.69259027777778,1.9189814814814817e-08,3.8379629629629634e-08,8.635416666666666e-08,7.675925925925926e-09,1.9189814814814816e-09
12,256.01090277777774,254.45104166666664,3.955409722222222,0.0,0.5482020833333333,143.6880138888889,2.107638888888889e-08,4.215277777777778e-08,9.484375e-08,8.430555555555556e-09,2.107638888888889e-09
13,257.2842361111111,255.46180555555554,5.009840277777778,0.0,0.40514722222222216,134.8426388888889,2.023148148148148e-08,4.046296296296296e-08,9.104166666666666e-08,8.092592592592592e-09,2.023148148148148e-09
14,257.52076388888884,255.11124999999998,6.483027777777778,0.0,0.34884236111111105,128.69590277777777,1.244212962962963e-08,2.488425925925926e-08,5.598958333333333e-08,4.976851851851852e-09,1.244212962962963e-09
15,256.6609722222222,254.63493055555554,7.6100972222222225,0.0,0.18687708333333333,168.20918055555555,2.3842592592592596e-09,4.768518518518519e-09,1.0729166666666668e-08,9.537037037037037e-10,2.3842592592592594e-10
16,255.4584722222222,254.04669444444443,4.230701388888889,0.0,0.2627569444444444,132.15247916666667,2.4305555555555553e-09,4.8611111111111105e-09,1.09375e-08,9.722222222222221e-10,2.4305555555555553e-10
17,256.8513194444444,255.93124999999998,9.519375,0.0,0.1721597222222222,171.02184027777778,0.0,0.0,0.0,0.0,0.0
18,256.4928472222222,253.98774305555554,3.4188333333333336,0.0,0.1506333333333333,121.09578472222223,6.849965277777778e-10,1.3699930555555556e-09,3.082484375e-09,2.7399861111111113e-10,6.849965277777778e-11
19,257.45180555555555,255.5002708333333,3.4793958333333332,0.0,0.23489097222222222,113.85898611111111,5.063657407407408e-10,1.0127314814814816e-09,2.278645833333333e-09,2.025462962962963e-10,5.0636574074074074e-11
20,257.88902777777776,257.08493055555556,7.482583333333333,0.0,0.20765347222222222,141.59518749999998,5.063657407407408e-10,1.0127314814814816e-09,2.278645833333333e-09,2.025462962962963e-10,5.0636574074074074e-11
21,259.4583333333333,258.5214722222222,4.638618055555556,0.0,0.12265277777777778,176.03159722222222,6.99267361111111e-10,1.398534722222222e-09,3.1467031249999997e-09,2.7970694444444446e-10,6.992673611111111e-11
22,261.71832638888884,258.3882083333333,2.718972222222222,0.0,0.13810624999999999,143.72812499999998,1.2037037037037035e-09,2.407407407407407e-09,5.416666666666666e-09,4.814814814814815e-10,1.2037037037037037e-10
23,262.8697638888889,260.549,3.7406875,0.0,0.22054895833333332,178.2357638888889,6.751539351851852e-10,1.3503078703703704e-09,3.0381927083333333e-09,2.7006157407407406e-10,6.751539351851852e-11
24,265.2143819444444,263.6957847222222,7.2173541666666665,0.0,0.18690624999999997,151.36014583333335,8.680555555555555e-10,1.736111111111111e-09,3.90625e-09,3.4722222222222225e-10,8.680555555555556e-11
25,263.2788680555555,262.40581944444443,3.9242361111111115,0.0,0.3443833333333333,136.92725694444445,9.886192129629629e-10,1.9772384259259257e-09,4.448786458333333e-09,3.9544768518518515e-10,9.886192129629629e-11
26,266.16088194444444,265.2366736111111,7.292916666666667,0.0,0.3259638888888889,162.1003125,8.198298611111111e-10,1.6396597222222223e-09,3.689234375e-09,3.2793194444444446e-10,8.198298611111112e-11
27,261.51579166666664,261.8109236111111,6.017534722222222,0.0,0.49655208333333334,126.43203472222223,2.5578703703703707e-09,5.1157407407407414e-09,1.1510416666666667e-08,1.0231481481481483e-09,2.557870370370371e-10
28,260.2023611111111,258.54243055555554,5.6043263888888895,0.0,0.45231180555555556,186.18099305555558,2.011574074074074e-08,4.023148148148148e-08,9.052083333333332e-08,8.046296296296295e-09,2.011574074074074e-09
29,261.8713888888889,258.86125694444445,5.933618055555556,0.0,0.41829236111111107,144.18965277777778,1.613425925925926e-08,3.226851851851852e-08,7.260416666666666e-08,6.453703703703704e-09,1.613425925925926e-09
30,261.63586805555553,259.0728958333333,6.987826388888888,0.0,0.3593076388888889,174.455,5.810185185185185e-09,1.162037037037037e-08,2.6145833333333333e-08,2.324074074074074e-09,5.810185185185185e-10
31,261.7787708333333,259.57071527777777,5.2250902777777775,0.0,0.3033958333333333,184.65502777777778,5.034722222222222e-09,1.0069444444444444e-08,2.2656249999999998e-08,2.0138888888888886e-09,5.034722222222221e-10
32,263.25115277777775,261.9029236111111,5.617881944444445,0.0,0.2520395833333333,149.25965277777777,3.6458333333333333e-09,7.291666666666667e-09,1.640625e-08,1.4583333333333334e-09,3.6458333333333334e-10
33,263.7065486111111,263.39966666666663,5.907652777777778,0.0,0.18304236111111108,176.57006944444444,2.5578703703703707e-09,5.1157407407407414e-09,1.1510416666666667e-08,1.0231481481481483e-09,2.557870370370371e-10
34,267.60168055555556,266.3610069444444,5.959395833333334,0.0,0.18181388888888889,158.20641666666666,2.6273148148148147e-09,5.254629629629629e-09,1.1822916666666665e-08,1.0509259259259259e-09,2.6273148148148147e-10
35,269.8787222222222,267.97327777777775,4.838708333333333,0.0,0.16460902777777775,90.0676388888889,4.363425925925926e-09,8.726851851851852e-09,1.9635416666666665e-08,1.7453703703703703e-09,4.3634259259259256e-10
36,266.7202986111111,265.6480347222222,4.218270833333333,0.0,0.32314791666666665,66.33634027777777,5.1157407407407414e-09,1.0231481481481483e-08,2.3020833333333334e-08,2.0462962962962967e-09,5.115740740740742e-10
37,255.45569444444442,256.94180555555556,5.695833333333334,0.0,0.8206666666666667,86.2188888888889,3.5185185185185187e-09,7.037037037037037e-09,1.5833333333333333e-08,1.4074074074074076e-09,3.518518518518519e-10
38,256.75361111111107,256.1406944444444,2.4631944444444445,0.0,0.8323333333333334,113.10068055555556,4.9884259259259256e-09,9.976851851851851e-09,2.2447916666666665e-08,1.9953703703703702e-09,4.988425925925926e-10
39,258.0039583333333,255.63727777777774,3.0597013888888887,1.1574074074074074e-09,0.6291166666666667,178.1926875,1.0300925925925925e-08,2.060185185185185e-08,4.6354166666666664e-08,4.12037037037037e-09,1.0300925925925926e-09
40,257.08951388888886,255.0125,2.458486111111111,0.0,0.71879375,99.42229166666667,1.2245370370370371e-08,2.4490740740740742e-08,5.5104166666666666e-08,4.898148148148149e-09,1.2245370370370372e-09
