,air temperature [K],Soil temperature at - 0.00 m [K],Wind speed at 10 m (m/s),precipitation rain [m s^-1],Relative humidity at 5 m (%),Incoming shortwave radiation (W/m^2),precipitation snow [m SWE s^-1]_sd0.1,precipitation snow [m SWE s^-1]_sd0.2,precipitation snow [m SWE s^-1]_sd0.45,precipitation snow [m SWE s^-1]_sd0.04,precipitation snow [m SWE s^-1]_sd0.01
0,261.50668055555553,260.3422222222222,5.703645833333334,0.0,0.26417291666666665,140.57291666666666,5.796296296296296e-08,1.1592592592592592e-07,2.608333333333333e-07,2.3185185185185184e-08,5.796296296296296e-09
1,261.0545208333333,259.88555902777773,5.112836805555556,0.0,0.2601027777777778,138.7412847222222,2.9102044560185186e-08,5.820408912037037e-08,1.3095920052083332e-07,1.1640817824074074e-08,2.9102044560185185e-09
2,260.9614398148148,259.8024606481481,5.2659212962962965,0.0,0.3181627314814815,128.54163657407406,1.9449588348765432e-08,3.8899176697530864e-08,8.752314756944443e-08,7.779835339506172e-09,1.944958834876543e-09
3,261.30360937499995,259.99811284722216,5.4586909722222225,0.0,0.3147123263888889,133.389625,1.4719810763888889e-08,2.9439621527777778e-08,6.623914843749999e-08,5.887924305555555e-09,1.4719810763888888e-09
4,261.6424708333333,260.1514680555555,5.562626388888889,0.0,0.2961298611111111,136.14899166666663,1.1833718981481481e-08,2.3667437962962962e-08,5.325173541666666e-08,4.733487592592593e-09,1.1833718981481482e-09
5,261.70374999999996,260.02476736111106,5.190056712962963,0.0,0.29496076388888887,138.72995833333331,1.001816473765432e-08,2.003632947530864e-08,4.508174131944444e-08,4.007265895061728e-09,1.001816473765432e-09
6,261.4066865079365,259.9184057539682,5.17238492063492,0.0,0.3189248015873016,137.02402182539683,8.67655968915344e-09,1.735311937830688e-08,3.904451860119047e-08,3.4706238756613753e-09,8.676559689153438e-10
7,261.04804365079366,259.61462400793647,5.026818452380953,0.0,0.355671626984127,138.1674642857143,5.098103505291005e-10,1.019620701058201e-09,2.2941465773809523e-09,2.0392414021164023e-10,5.0981035052910056e-11
8,260.4117341269841,259.2349077380952,4.837381944444444,0.0,0.4193421626984128,138.33883630952383,5.890376984126984e-10,1.1780753968253967e-09,2.6506696428571426e-09,2.3561507936507934e-10,5.890376984126983e-11
9,259.5431726190476,258.79547123015874,4.4065079365079365,1.6534391534391534e-10,0.47346547619047624,134.55485416666667,2.04985119047619e-09,4.09970238095238e-09,9.224330357142857e-09,8.199404761904762e-10,2.0498511904761904e-10
10,258.1709136904762,257.6792013888889,3.865141865079365,1.6534391534391534e-10,0.5404067460317461,129.73329464285715,4.536899305555556e-09,9.073798611111111e-09,2.0416046875000004e-08,1.814759722222222e-09,4.536899305555555e-10
11,256.92666765873014,256.4395248015873,3.4519831349206345,1.6534391534391534e-10,0.5793308531746033,131.23417063492064,7.236965443121693e-09,1.4473930886243386e-08,3.256634449404762e-08,2.8947861772486774e-09,7.236965443121693e-10
12,256.0696329365079,255.73377876984128,3.5417261904761905,1.6534391534391534e-10,0.616343253968254,130.09891666666667,1.011353621031746e-08,2.022707242063492e-08,4.551091294642857e-08,4.045414484126984e-09,1.011353621031746e-09
13,255.7353373015873,255.18828869047616,3.5336527777777778,1.6534391534391534e-10,0.6081201388888889,131.2495218253968,1.2914186507936507e-08,2.5828373015873015e-08,5.811383928571429e-08,5.165674603174603e-09,1.2914186507936507e-09
14,255.52456349206346,254.74478869047616,3.7905595238095238,1.6534391534391534e-10,0.5834689484126984,128.4093630952381,1.4577959656084656e-08,2.915591931216931e-08,6.560081845238096e-08,5.831183862433862e-09,1.4577959656084656e-09
15,255.59781746031746,254.43965277777778,4.421148809523809,1.6534391534391534e-10,0.5099190476190476,132.70935218253967,1.4804894179894178e-08,2.9609788359788355e-08,6.66220238095238e-08,5.921957671957672e-09,1.480489417989418e-09
16,255.7068353174603,254.08057936507933,4.660395833333333,0.0,0.4312920634920635,139.92335416666668,1.367063492063492e-08,2.734126984126984e-08,6.151785714285714e-08,5.468253968253968e-09,1.367063492063492e-09
17,256.2964087301587,254.53201785714285,5.699244047619048,0.0,0.3454648809523809,148.04323511904764,1.1107804232804234e-08,2.2215608465608468e-08,4.998511904761904e-08,4.4431216931216925e-09,1.1107804232804231e-09
18,256.6113591269841,254.80353075396823,5.74675496031746,0.0,0.2963741071428571,142.81512003968254,8.464258763227514e-09,1.6928517526455028e-08,3.808916443452381e-08,3.3857035052910052e-09,8.464258763227513e-10
19,256.8172023809524,254.95342063492063,5.678752976190476,0.0,0.25161537698412695,138.55383035714286,5.525684027777777e-09,1.1051368055555553e-08,2.4865578124999997e-08,2.2102736111111114e-09,5.525684027777779e-10
20,256.9036011904762,255.1852956349206,6.032001984126984,0.0,0.22340198412698412,139.51848015873017,2.7078103505291e-09,5.4156207010582e-09,1.2185146577380951e-08,1.0831241402116403e-09,2.7078103505291007e-10
21,257.1803968253968,255.67247023809523,5.768514880952382,0.0,0.1910891865079365,146.28072222222224,1.0302585978835975e-09,2.060517195767195e-09,4.63616369047619e-09,4.1210343915343914e-10,1.0302585978835978e-10
22,257.9028759920635,256.20865277777773,5.069782738095237,0.0,0.1841219246031746,142.78342857142857,8.616078042328037e-10,1.7232156084656073e-09,3.877235119047619e-09,3.4464312169312167e-10,8.616078042328042e-11
23,258.96163194444443,257.13755357142855,4.9997807539682535,0.0,0.17809221230158728,149.36675496031745,6.108361441798937e-10,1.2216722883597873e-09,2.7487626488095237e-09,2.443344576719577e-10,6.108361441798942e-11
24,260.15635515873015,258.2467728174603,4.670920634920635,0.0,0.1801988591269841,146.55794146825397,7.348440806878301e-10,1.4696881613756603e-09,3.3067983630952382e-09,2.939376322751323e-10,7.348440806878308e-11
25,261.1257867063492,259.44935515873016,4.743121031746033,0.0,0.20787743055555552,148.81958035714288,7.782187499999995e-10,1.556437499999999e-09,3.5019843749999997e-09,3.112875e-10,7.7821875e-11
26,262.36994047619044,260.8402698412698,5.287909722222222,0.0,0.2208878472222222,155.71119841269842,8.229993386243382e-10,1.6459986772486763e-09,3.7034970238095235e-09,3.2919973544973543e-10,8.229993386243386e-11
27,262.8880496031746,261.5154117063492,5.078617063492063,0.0,0.2621590773809524,153.54503373015874,1.116071428571428e-09,2.232142857142856e-09,5.022321428571428e-09,4.464285714285715e-10,1.1160714285714287e-10
28,262.99433928571426,261.51840575396824,5.216575396825397,0.0,0.3092532242063492,154.9949474206349,3.8898533399470896e-09,7.779706679894179e-09,1.75043400297619e-08,1.555941335978836e-09,3.88985333994709e-10
29,263.01620535714284,261.5859841269841,5.6758105158730165,0.0,0.3492798115079365,155.06087996031746,6.022789847883598e-09,1.2045579695767195e-08,2.7102554315476185e-08,2.409115939153439e-09,6.022789847883598e-10
30,262.8399345238095,261.37511210317456,6.1396875,0.0,0.3691024801587301,154.52077083333333,6.75636574074074e-09,1.351273148148148e-08,3.040364583333333e-08,2.7025462962962963e-09,6.756365740740741e-10
31,262.34913293650794,260.7858164682539,5.855078373015873,0.0,0.38574384920634924,159.27718253968257,7.351603835978836e-09,1.4703207671957672e-08,3.3082217261904756e-08,2.9406415343915344e-09,7.351603835978836e-10
32,262.3451736111111,260.7139742063492,6.097027777777778,0.0,0.3725518849206349,161.0389533730159,7.731205853174604e-09,1.5462411706349207e-08,3.479042633928572e-08,3.0924823412698415e-09,7.731205853174604e-10
33,261.99455456349204,260.45154464285713,5.899132936507937,0.0,0.35213452380952376,163.10606150793652,7.979497354497353e-09,1.5958994708994707e-08,3.59077380952381e-08,3.1917989417989416e-09,7.979497354497354e-10
34,262.86396726190475,261.10155654761905,5.8908273809523815,0.0,0.3071719246031746,167.64525892857142,7.989417989417988e-09,1.5978835978835976e-08,3.595238095238095e-08,3.195767195767195e-09,7.989417989417988e-10
35,264.24630456349206,262.4488204365079,5.781453373015872,0.0,0.26607152777777776,153.91477976190478,5.739087301587301e-09,1.1478174603174601e-08,2.5825892857142856e-08,2.2956349206349205e-09,5.739087301587301e-10
36,264.9390059523809,263.4183601190476,5.53640376984127,0.0,0.2524794642857143,142.79287797619048,4.165013227513227e-09,8.330026455026454e-09,1.8742559523809522e-08,1.666005291005291e-09,4.1650132275132276e-10
37,264.0561240079365,263.1139186507936,5.351833333333333,0.0,0.31838789682539687,130.18771924603175,3.8376322751322745e-09,7.675264550264549e-09,1.7269345238095236e-08,1.5350529100529101e-09,3.8376322751322753e-10
